side,symbol,entry_ts,exit_ts,tranches,shares,avg_cost,exit_price,pnl,ret,reason,hold_minutes,max_adverse_pct,gap_fill
long_tqqq,TQQQ,2026-06-08 04:05:00-04:00,2026-06-08 04:08:00-04:00,1,446.2181019037649,74.701885,74.458145,-108.76120015802478,-0.0032628360047407545,score_neutral,3,-0.0021670805228006795,False
long_sqqq,SQQQ,2026-06-08 04:08:00-04:00,2026-06-08 04:08:00-04:00,1,787.7729756450136,42.313375,42.20659500000001,-84.11839833936938,-0.0025235519501810577,score_neutral,0,-0.0014977533699450651,False
long_sqqq,SQQQ,2026-06-08 04:36:00-04:00,2026-06-08 04:39:00-04:00,1,789.0803276671841,42.24327,42.21658,-21.0605539454388,-0.0006318166183632012,score_neutral,3,-0.0014977533699451762,False
long_tqqq,TQQQ,2026-06-08 04:55:00-04:00,2026-06-08 05:00:00-04:00,1,448.56345311323213,74.3113,74.22849000000001,-37.145539552304484,-0.0011143661865691268,score_neutral,5,-0.0028434437292849113,False
long_sqqq,SQQQ,2026-06-08 07:28:00-04:00,2026-06-08 09:09:00-04:00,1,801.8166278246646,41.572265,40.67970847045,-715.6666666666661,-0.02146999999999999,stop,101,-0.0202602624610424,False
long_sqqq,SQQQ,2026-06-08 10:46:00-04:00,2026-06-08 11:30:00-04:00,3,2482.9379603016723,40.274868562503336,40.579040000000006,755.2388086000099,0.007552388086000006,score_neutral,44,-0.016980313433369698,False
long_tqqq,TQQQ,2026-06-08 18:30:00-04:00,2026-06-08 18:35:00-04:00,1,441.4245122148783,75.51310000000001,75.516555,1.5251216896972035,4.575365069081627e-05,score_neutral,5,-0.0014977533699450651,False
long_sqqq,SQQQ,2026-06-09 04:22:00-04:00,2026-06-09 06:06:00-04:00,1,822.6250178201143,40.52069,40.429265,-75.20849225420476,-0.0022562547676261424,score_neutral,91,-0.007420653498249941,False
long_tqqq,TQQQ,2026-06-09 10:56:00-04:00,2026-06-09 11:28:00-04:00,2,904.8485883039514,73.67715165652929,72.09530321046361,-1431.3333333333276,-0.021469999999999878,stop,32,-0.023849342937697138,False
long_tqqq,TQQQ,2026-06-10 04:27:00-04:00,2026-06-10 05:30:00-04:00,2,933.451177411589,71.41955388768143,71.05326,-341.9174607349053,-0.005128761911023627,score_neutral,63,-0.01399552130013837,False
long_tqqq,TQQQ,2026-06-10 07:32:00-04:00,2026-06-10 07:55:00-04:00,1,475.0700573936886,70.16509,70.41422,118.35420339848673,0.003550626101954668,score_neutral,23,-0.0046332157487434245,False
long_tqqq,TQQQ,2026-06-10 16:54:00-04:00,2026-06-10 17:17:00-04:00,1,485.5347661707049,68.652825,68.75671,50.439779183639374,0.0015131933755092586,score_neutral,22,-0.0014977533699451762,False
long_tqqq,TQQQ,2026-06-10 18:18:00-04:00,2026-06-10 18:30:00-04:00,1,487.88343918208477,68.32233000000001,68.40723500000001,41.423743403757946,0.001242712302112814,score_neutral,12,-0.002229578528718301,False
long_tqqq,TQQQ,2026-06-10 19:09:00-04:00,2026-06-10 19:28:00-04:00,2,979.4285298993194,68.06690292503494,68.0977,30.163533858232753,0.00045245300787355447,score_neutral,19,-0.009584577632152924,False
long_sqqq,SQQQ,2026-06-11 13:41:00-04:00,2026-06-11 14:03:00-04:00,1,791.708092792622,42.10306,42.4612125,283.5522327039117,0.008506566981117292,score_neutral,22,-0.012067056408726629,False
long_sqqq,SQQQ,2026-06-11 15:26:00-04:00,2026-06-11 16:35:00-04:00,3,2449.622065943796,40.82262377950607,40.78872500000001,-83.03919828660877,-0.0008303919828660522,score_neutral,69,-0.018483210785280146,False
long_sqqq,SQQQ,2026-06-11 18:23:00-04:00,2026-06-11 19:07:00-04:00,3,2467.887837817821,40.52048009135736,40.409295,-274.39233470750025,-0.0027439233470749613,score_neutral,44,-0.006795159176589682,False
long_sqqq,SQQQ,2026-06-15 04:10:00-04:00,2026-06-15 05:45:00-04:00,1,887.7942977061036,37.546235,37.693375,130.63005296447633,0.003918901588934265,score_neutral,94,-0.006824519156181763,False
long_sqqq,SQQQ,2026-06-15 07:19:00-04:00,2026-06-15 08:16:00-04:00,2,1779.6235164131144,37.46110683063762,37.40381,-101.96678721864487,-0.0015295018082797096,score_neutral,57,-0.004033699039400318,False
long_sqqq,SQQQ,2026-06-15 09:43:00-04:00,2026-06-15 12:01:00-04:00,1,901.2566536962313,36.985395000000004,36.19131856935001,-715.6666666666614,-0.021469999999999878,stop,138,-0.021370462583947036,False
long_sqqq,SQQQ,2026-06-16 04:22:00-04:00,2026-06-16 04:38:00-04:00,1,917.6566920596035,36.324405000000006,36.26552,-54.03621431193309,-0.0016210864293579874,score_neutral,16,-0.0034248324232702965,False
long_sqqq,SQQQ,2026-06-16 07:11:00-04:00,2026-06-16 07:35:00-04:00,1,923.0007826123633,36.114090000000004,36.04585,-62.98557340547041,-0.0018895672021641552,score_neutral,23,-0.003989855482998572,False
long_tqqq,TQQQ,2026-06-16 11:40:00-04:00,2026-06-16 12:03:00-04:00,2,815.8450164259339,81.71486657934247,81.84704500000001,107.83710577250366,0.0016175565865874653,score_neutral,23,-0.011282794066999835,False
long_tqqq,TQQQ,2026-06-16 16:06:00-04:00,2026-06-16 17:08:00-04:00,2,832.3455769595137,80.09493714160676,79.91994000000001,-145.65809679693803,-0.002184871451954118,score_neutral,62,-0.005430270091077105,False
long_tqqq,TQQQ,2026-06-17 15:48:00-04:00,2026-06-17 16:19:00-04:00,2,860.4446216650063,77.47932288502554,78.112655,544.9472120575016,0.008174208180862452,score_neutral,31,-0.01106785723897119,False
long_sqqq,SQQQ,2026-06-18 04:19:00-04:00,2026-06-18 04:52:00-04:00,1,883.5521162994909,37.726505,37.763270000000006,32.48379355575308,0.0009745138066725723,score_neutral,32,-0.0014977533699450651,False
long_sqqq,SQQQ,2026-06-18 09:31:00-04:00,2026-06-18 09:34:00-04:00,1,892.9150428169503,37.330912500000004,37.553585,198.82762487165246,0.005964828746149564,score_neutral,3,-0.002703188677748103,False
long_sqqq,SQQQ,2026-06-22 08:41:00-04:00,2026-06-22 09:28:00-04:00,1,917.6566920596035,36.324405000000006,36.26552,-54.03621431193309,-0.0016210864293579874,score_neutral,47,-0.004801317461359811,False
